Branch,Location,Longitude,Latitude
강릉교동중앙점,강원도 강릉시 강릉대로121번길 6,128.8836512,37.75659736
원주서곡점,강원도 원주시 판부면 백운정길 1,127.9373725,37.29759204
원주봄마중길점,강원도 원주시 봄마중길 26,127.9797652,37.32537933
춘천충혼길점,강원도 춘천시 충혼길 54,127.7201287,37.85983622
신림점,강원도 원주시 신림면 치악로 2,128.082151,37.22908559
속초그린라군호텔점,강원도 속초시 청봉로 141,128.5321515,38.16567594
삼척근덕용화점,강원도 삼척시 근덕면 용화해변길 12,129.3040483,37.28902811
춘천효자봉의점,강원도 춘천시 성심로 69,127.7416705,37.87775287
사랑점,강원도 삼척시 중앙로 257,129.1671793,37.44620511
동해코아루스카이점,강원도 동해시 동해대로 4833,129.1117985,37.47721259
현대춘천제일점,강원도 춘천시 영서로 1923,127.7550259,37.8472725
정선여량점,강원도 정선군 여량면 서동로 2903,128.722223,37.47149575
원주태장대원점,강원도 원주시 흥양로18번길 6,127.9490236,37.38225723
원주현대점,강원도 원주시 남원로 492,127.9457421,37.32891
강릉포남주공점,강원도 강릉시 보래미상길 66,128.9099636,37.77471486
홍천상오안점,강원도 홍천군 홍천읍 설악로 1001,127.8242453,37.65654496
원주간현점,강원도 원주시 지정면 간현로 164,127.8376428,37.36361198
물치항점,강원도 양양군 강현면 동해대로 3451-7,128.6107093,38.14491365
양구읍내점,강원도 양구군 양구읍 양록길 59,127.9872599,38.10677574
삼척임원점,강원도 삼척시 원덕읍 삼척로 1198,129.3427703,37.23159414
춘천사농점,강원도 춘천시 마장길 60,127.7302908,37.90915513
정선고한점,강원도 정선군 고한읍 고한로 129,128.85096,37.20259232
천곡시네마점,강원도 동해시 한섬로 111-7,129.1152496,37.52225931
민둥산휴게소점,강원도 정선군 남면 강원남로 4995,128.7547098,37.2602037
고성청간점,강원도 고성군 토성면 동해대로 5138,128.5547528,38.26719158
춘천두미르레스텔점,강원도 춘천시 충열로 1-21,127.7305773,37.90231701
건강보험심사평가원,강원도 원주시 입춘로 130,127.9805787,37.32100004
태백유진점,강원도 태백시 고원로 61,128.9874703,37.16107362
강원관광대학교점자판기,강원도 태백시 대학길 97,128.9732761,37.16220028
속초청대점,강원도 속초시 소평로 162,128.5783762,38.19101801
강릉포남경강로점,강원도 강릉시 경강로 2322,128.9152071,37.76820494
원주구곡동보점,강원도 원주시 남원로469번길 82,127.9363438,37.32699495
춘천삼천행운점,강원도 춘천시 옛경춘로 802,127.7070572,37.8689679
춘천퇴계빌리지점,강원도 춘천시 퇴계로69번길 11,127.7290336,37.86432616
강릉유천우미린점,강원도 강릉시 선수촌로 55,128.8696099,37.75633238
홍천샘골휴게소점,강원도 홍천군 내면 구룡령로 6928,128.475773,37.83379869
휴게소,강원도 고성군 죽왕면 삼포해변길 10,128.5321261,38.3157859
영월마차리점,강원도 영월군 북면 마차중앙1길 34-1,128.4567491,37.2558978
원주관설사거리점,강원도 원주시 치악로 1463,127.9698505,37.31609572
춘천샹떼PC방점,강원도 춘천시 후석로 47,127.7418843,37.85884973
춘천후평동광점,강원도 춘천시 동광길 15,37.88797575,37.88797575
횡성둔내펜션타운,강원도 횡성군 둔내면 고원로 431,128.2417019,37.49619912
속초외옹치점,강원도 속초시 해오름로 75,128.6080136,38.18161531
동해6주공점,강원도 동해시 평릉1길 37,129.1009763,37.52865547
삼척증산해변점,강원도 삼척시 수로부인길 376,129.1617003,37.47411043
진부대로점,강원도 평창군 진부면 진부중앙로 100-1,128.5610334,37.63968148
동해평릉대로2호점,강원도 동해시 평원6길 17,129.1164844,37.52996054
동해추암해변점,강원도 동해시 촛대바위길 16-1,129.1588224,37.47809428
삼척씨스포빌점,강원도 삼척시 근덕면 상맹방길 30-80,129.2207784,37.39593483
속초수복로점,강원도 속초시 수복로 248,128.5913099,38.20931535
화천중리점,강원도 화천군 화천읍 산수화로 105,127.7115994,38.11435125
춘천봄내3주공점,강원도 춘천시 퇴계로 220-17,127.7424893,37.85479641
원주향교점,강원도 원주시 남원로 613-15,127.95069,37.33781517
원주솔샘점,강원도 원주시 솔우물1길 1-1,127.92841,37.32824297
태백황지시장,강원도 태백시 태백로 938,128.9935363,37.17378254
강릉대원룸점,강원도 강릉시 지변길 16,128.8731688,37.77332637
SK춘천장미주유소점,강원도 춘천시 영서로 2241,127.7249934,37.86273999
횡성우천농공단지점,강원도 횡성군 우천면 우천제2농공단지로 55,128.0647732,37.45198671
강릉명주점,강원도 강릉시 경강로 2032,128.8914882,37.7505105
평창강변대로점,강원도 평창군 평창읍 서동로 2573,128.4034388,37.36804556
강릉안인발전소점,강원도 강릉시 강동면 원장봉길 20,128.9727613,37.73934385
춘천온의동점,강원도 춘천시 영서로 2315-2,127.7177957,37.86666046
강릉옥천로점,강원도 강릉시 옥천로61번길 25,128.8983346,37.75739638
동해송정중앙로점,강원도 동해시 송정중앙로 68-1,129.1260764,37.49970261
동해성림점,강원도 동해시 효가로 4,129.1101169,37.49575392
간성대명점,강원도 고성군 간성읍 수성로 126-5,128.4636055,38.37871086
원주골드파크푸른,강원도 원주시 지정면 신지정로 250,127.8708659,37.37782735
삼척장호캠핑점,강원도 삼척시 근덕면 삼척로 2127,129.3104527,37.28505579
포남일송점,강원도 강릉시 하평3길 22,128.9164029,37.77128614
속초비치센터점,강원도 속초시 새마을길 62,128.6048557,38.18622657
홍천오드카운티점,강원도 홍천군 홍천읍 갈마로11길 31,127.9026652,37.6983909
양양내안애점,강원도 양양군 양양읍 미륵길 37,128.621784,38.07997586
교동아름점,강원도 강릉시 솔올로 65,128.878576,37.76790709
춘천소양로점,강원도 춘천시 소양로 216-1,127.7265546,37.89236042
오투타워콘도점,강원도 태백시 서학로 861,128.9587484,37.17172624
노암율곡로점,강원도 강릉시 율곡로 2745,128.905313,37.75172061
춘천모아엘가점,강원도 춘천시 공지로 400-1,127.7234777,37.87297213
철원문혜리점,강원도 철원군 갈말읍 태봉로 1532,127.320582,38.18544943
원주로드타운점,강원도 원주시 입춘로 69,127.9809045,37.32691141
경포비치점,강원도 강릉시 경포로 489-6,128.9047246,37.8040202
원주개운강변점,강원도 원주시 강변로 359,127.9626745,37.33957673
백담사입구점,강원도 인제군 북면 백담로 101,128.3527749,38.19348022
입암강변로점,강원도 강릉시 강변로 366,128.9065091,37.75488302
관설으뜸점,강원도 원주시 만대공원길 32,127.9268543,37.3383345
